incident_date,route,ccil,narrative,found_location,latitude,longitude,postcode
2020-02-08,Eastern (EM),CCIL 2090977 ,"At 1755 the driver of 1K23, East Midlands Railway, 1742 Derby – Crewe, reported that DY304 signal on the Down Tamworth line at North Stafford Junction had reverted from green to red as the train approached. The driver was unable to stop and passed the signal at red. The reason for the reversion was due to a momentary loss of detection on No. 679 points. The driver was fit to continue.",Eastern (EM),,,
2020-02-08,Eastern (EM),CCIL 2090505 ,"Fault No. 153984 / With reference to an item detailed in this section of yesterday’s Report regarding the failure of ‘134’ track circuit at Kentish Town: the TPIC advised at 0205 that rodent damage had been caused to the cabling within the troughing. The cable was re-terminated and following testing the fault was signed back in order at 0318, thus allowing trains to be signalled normally.",Kentish Town,51.55003637,-0.139442076,NW5 2AA
2020-02-08,Southern (Wessex),CCIL 2090810 ,"At 1120 “BBU” track circuit on the Down Fast line at Basingstoke failed after the passage of a train, locking a route from the Down Reading line into platform 2, preventing the use of the Up Slow and Up Fast lines, and the Main lines through platform 2, with drivers on other routes requiring to be authorised affected signals at red. A Mobile Operations Manager, P’Way and S&T staff were sent to site. Service levels were reduced with services held at Reading. Other services were diverted via Havant or terminated short of destination. A previous fault in the area showed that tie bars had been fitted on No. 2521 points, which the track circuit runs through, with the Mobile Operations Manager directed to inspect the points. At 1153 the Mobile Operations Manager reported a loose tie bar on the points. The tie bar was moved and the track circuit and route lock cleared, allowing normal signalling. The Mobile Operations Manager secured the points in the Normal position to prevent a recurrence of the fault, pending P’Way staff attention to the tie bar and insulation. The tie bar and insulation was attended to by 1312, however, two other tie bars were found to be loose which were attended to by 1320. Arrangements were made for the tie bars to be regularly inspected.",Basingstoke,51.26835654,-1.087259112,RG21 5NB
2020-02-08,Wales and Western (Wales),CCIL 2090668 ,"At 0440 6B13, DB Cargo, 0500 Robeston – Westerleigh, formed by 28 loaded tank vehicles = 2705 tonnes hauled by locomotive 60062, stopped out of course at Clarbeston Road with a loss of power on the locomotive. The train went forward at 0505, but experienced further power losses and came to a stand near Whitland tunnel, from where the driver declared the locomotive a failure at 0558. An assisting locomotive was despatched from Margam at 0711 and attached to the failed train at 0855. 6B13 was assisted to destination at 0907.",Clarbeston Road,51.85167193,-4.883574493,SA63 4UH
2020-02-08,Scotland,CCIL 761626 ,"At 0617, the Hilton Junction signaller advised that 4H47, Direct Rail Services, 0504 Mossend Up Reception",Scotland,,,
2020-02-08,Scotland,CCIL 2090819 ,"At 1123, the Shift Signalling Manager at Motherwell reported that 1M96, TransPennine Express, 1108 Glasgow Central – Manchester Airport formed by unit 397002, had come to a stand in the vicinity of Uddington due to a VCB. The driver was able to overcome the fault by switching pantographs. The train proceeded forward at 1125, however, came to a stand on two further occasions with the same fault. At 1234, the train came to a stand at Beattock summit. The driver performed a hard reset, clearing all faults and proceed forward at 1251. Significant delays ensued as a result.",Motherwell,55.79166603,-3.994311557,ML1 1BL
2020-02-09,Southern (Sussex),CCIL 2091189 ,"At 0437 Brighton ECO advised that B261 electrical section at Tilgate Sidings had tripped. Tilgate Sidings were blocked as per KS WON 46, Item 130. Following initial investigation, it transpired that an RRV had come into contact with the 3rd rail, which should have been isolated if staff required to move on track machines. No injuries were reported, and the worksite was stood down. The ES and Machine Controller were relieved off duty for interview and ‘for cause’ screening. Three Bridges ECO subsequently isolated Tilgate Sidings whilst investigations were ongoing. The traction current was restored at 0738 after all personnel were clear of the Sidings and Marker Boards were in the correct position.",Southern (Sussex),,,
2020-02-09,Southern (Wessex),CCIL 2091179,"Fault No. 463130 / At 0430 a Road/Rail Vehicle (RRV) working within Route Business Wessex managed possession WON 46 item 152 (Barnes Junction – Feltham Junction, Down and Up Main/Richmond lines, Twickenham – Strawberry Hill, Down Strawberry Hill line, Strawberry Hill – St Margarets, Up Strawberry Hill/Up Passenger Loop line, 0120 Sat to 0420 Mon), ran through No. 608 points at Twickenham station. The Operations Delivery Manager was appointed as the investigating officer. Pway and S&T staff were sent to site. The Machine Operator, employed by BCM, was relieved of duty for interview and screening. At 0705 S&T reported that the only damage was to the rear stretcher which would be replaced within the possession.",Twickenham,51.45037655,-0.329159686,TW1 1BD
2020-02-09,Eastern (Anglia),CCIL 2091133 ,"At 0056 (Sun) it was advised that a member of Network Rail staff, Ipswich Delivery Unit en route to work at Ardleigh CCTV Level Crossing was suffering from seizure like symptoms. The member of staff was conveyed to hospital for assessment.",Ardleigh ,51.921837,0.985627,CO7 7RS
2020-02-09,Southern (Kent),CCIL 2091160 ,At 0210 it was advised that a member of Keltbray staff working at Winchelsea had sustained an injury to their foot whilst renewing wheel timbers. The member of staff was conveyed to hospital for treatment.,Winchelsea,50.93376133,0.702271814,TN36 4JX
2020-02-09,Eastern (Anglia),CCIL 2091345 ,"At 0855 the driver of 2U27, Arriva Rail London, 0852 Enfield Town – London Liverpool Street, reported a near miss at Lincoln Road MCG LC, between Enfield Town and Bush Hill Park with a person on the crossing as the train approached, with the driver applying the emergency brake. The driver was fit to continue. The BTP (ref. 170) were advised.",Lincoln Road ,51.64744,-0.07426100000000001,EN1 2RZ
2020-02-09,North West and Central (WCMLS),CCIL 2091325 ,"Fault No. 881282 / At 0900 the driver of 5Z18, Great Western Railway, 1010 St Phillips Marsh – Bath Spa, reported that RY1038 signal on the Up & Down Slow line at Northampton had reverted from a single yellow to red as the train approached. The driver was unable to stop and passed the signal at red by five metres. The reason for the reversion was track circuit ‘737’ momentarily failing. The driver was fit to continue.",Northampton,52.23750925,-0.906652319,NN1 1SP
2020-02-09,North West and Central (WCMLS),CCIL 2090455 ,"Fault No. 881119 / With reference to an item detailed in this section of Thursday’s report regarding the land slip near Brandon Viaduct between Rugby and Coventry: Remedial work continued throughout the weekend, with the ESR eased over the Up Coventry line to 50 mph at 0506. All associated ESR equipment was confirmed as in place at 0646, with further remedial work still required to restore linespeed.",Rugby,52.37910798,-1.250477907,CV21 3LA
2020-02-09,Eastern (Anglia),CCIL 2089809 & 2090765 ,As a result of Storm Ciara and resultant high wind speeds. A blanket speed restriction was imposed of 50 mph between 0800 (Sun) and 1900 (Sun) across the whole of the Anglia Route.,Eastern (Anglia),,,
2020-02-09,Eastern (EM),CCIL No CCIL raised ,As a result of Storm Ciara and resultant high wind speeds. A blanket speed restriction was imposed of 50mph between 1100 (Sun) and 1900 (Sun) across the East Midlands Route.,Eastern (EM),,,
2020-02-09,Eastern (North & East & East Coast),CCIL 2091813 ,As a result of Storm Ciara and resultant high wind speeds. A blanket speed restriction was imposed of 50 mph between 1100 (Sun) and 1900 (Sun) across the North & East and East Coast Routes.,Eastern (North & East & East Coast),,,
2020-02-09,North West and Central (WCMLS & Central),CCIL No CCIL raised ,As a result of Storm Ciara and resultant high wind speeds. A blanket speed restriction was imposed of 50 mph between 0600 (Sun) and (2359) across the whole of the WCML South and Central Route. The blanket speed was lifted at 1810.,North West and Central (WCMLS & Central),,,
2020-02-09,North West and Central (NW),CCIL 2089985 ,As a result of Storm Ciara and resultant high wind speeds. A blanket speed restriction was imposed of 50 mph between 1000 (Sun) and 1900 (Sun) across the whole of the North West Route.,North West and Central (NW),,,
2020-02-09,Southern (Kent),No Generic CCIL created ,"As a result of Storm Ciara and resultant high wind speeds. A blanket speed restriction was imposed of 50 mph between 1000 (Sun) and 2359 (Sun) across the whole of the Kent Route, with the exception of HS1.",Southern (Kent),,,
2020-02-09,Southern (Sussex),CCIL 2089802 ,As a result of Storm Ciara and resultant high wind speeds. A blanket speed restriction was imposed of 50 mph between 1000 (Sun) and 2359 (Sun) across the majority of the Sussex Route.,Southern (Sussex),,,
2020-02-09,Southern (Wessex),CCIL 2089803 ,As a result of Storm Ciara and resultant high wind speeds. A blanket speed restriction was imposed of 50 mph between 0900 (Sun) and 1900 (Sun) across the whole of the Wessex Route.,Southern (Wessex),,,
2020-02-09,Wales and Western (Wales),CCIL 2089612 ,As a result of Storm Ciara and resultant high wind speeds. A blanket speed restriction was imposed of 50 mph between 0600 (Sun) and 2359 (Sun) across the majority of the Wales Route.,Wales and Western (Wales),,,
2020-02-09,Wales and Western (Western),CCIL 2090118 ,"As a result of Storm Ciara and resultant high wind speeds. A blanket speed restriction was imposed of 50 mph between 1200 (Sun) and 1800 (Sun) for the Thames Valley, between 1000 (Sun) and 2100 (Sun) for the West Country North & South between 0900 (Sun) and 0500 (Mon). The blanket speed was lifted for the Thames Valley at 1800. The blanket speed for West Country North & South was due to be removed at 0500 Monday morning.",Wales and Western (Western),,,
2020-02-09,Eastern (Anglia),CCIL 2091223 ,"Fault No. 304989 / At 0710 the driver of 2C25, Govia Thameslink Railway, 0655 Cambridge – Letchworth Garden City, reported that they were at Shepreth due to plastic sheeting wrapped around the pantograph. The driver was able to lower the affected pantograph and secure it, going forward on half power at 0725. Following service were cautioned through the section, with further plastic identified lineside at Shepreth. The following service 2C29, Govia Thameslink Railway, 0755 Cambridge – London King’s Cross was cautioned, with the driver reporting that they had removed the plastic from site. Further advising that they plastic had probably blown onto the track from Shepreth Wildlife Park. Services were signalled normally from 0848.",Shepreth,52.11417,0.031332,SG8 6JP
2020-02-09,Southern (Wessex),CCIL 2091264 ,"Fault No. 463145 / At 0804 the driver of 2G16, South Western Railway, 0750 Guildford – Surbiton formed by units 455852, 455905 & 456023, reported striking a tree branch between Clandon and Horsley on the Up Cobham line. Concurrently the driver of 2G09, South Western Railway, 0716 Wimbledon – Surbiton formed by units 455917, 455871 & 456017, reporting making an emergency brake application and striking a tree on the Down Cobham line at Horsley. 2G16 was authorised forward at 0835, after the driver confirmed the units fit to proceed and that they had removed branches. The driver of 2G09 advised that the front fibreglass panel on the leading unit was damaged, and that there was a banging noise coming from the units when moved. In response, 2G09 was authorised forward at 35 mph, arriving at Guildford at 0906, 59 minutes late. Subsequent services were cautioned through the section, with services signalled normally at 0912, after confirmation that both lines were clear of obstructions.",Guildford,51.23696786,-0.5804206820000001,GU1 4UT
2020-02-09,Eastern (Anglia),CCIL 2091272 ,"Fault No. 304991 / At 0824 the driver of 6T62, GB Railfreight, 0625 Billericay – Whitemoor, reported a tree in contact with the OLE on the Down Cambridge line at Elsenham which appeared to be on fire. The following service was utilised to examine the line from the adjacent Up Cambridge line, with the driver reporting at 0829 that the fire was out, but there were two trees foul of the Down Cambridge line. In response the line was blocked between Audley End and Elsenham. CrossCountry services were terminated/started from Cambridge, with Greater Anglia implementing a shuttle service between Cambridge and Audley End. The Cambridge – Stansted Airport shuttle was cancelled. The Cambridge Mobile Operations Manager, OLE and Off-track staff were on site from 0854. At 0926 OLE staff advised that the Catenary Wire was stranded between stanchions C59/35 and C59/37. An isolation was effected at 1057 to allow repair work to be carried out, but the commencement of said repairs was delayed due to high wind speeds. It was not possible to run a diesel service due to the possibility of further damage being caused, with one tree resting on the Catenary Wire which was hanging by a single strand. A repair plan was formulated to effect repairs overnight between 0000 (Mon) and 0330 (Mon).",Audley End,52.00445153,0.2071621,CB11 4LB
2020-02-09,Wales and Western (Western),CCIL 2091428,"Fault No. 459842 / At 1029 following a tripping of OLE section 4808 on the Down Main line between Acton Main Line and Acton West, which would not reset, a tree was confirmed to have fallen onto the Down Main line and was partially obstructing the Up Main line. All services were diverted to the Relief lines with staff sent to site. At 1055 the traction current on lines was switched off after the OLE was reported to be hanging with one metre of the running rails on the Down Main line. Additional staff were sent to site. There were four trapped trains within the affected area with regular contact maintained with the train crews. BT Police were advised, ref 228. OLE staff attended to reduce the affected area. The power was restored to the Relief lines at 1320, allowing the trapped trains to be recovered. The tree was removed by 1810 with the Down Main line remaining Blocked to Electric Traction (BTET). Due to the high wind speeds repairs were unable to be undertaken until the wind speed dropped below 28mph. Two six hour possessions are planned for tonight and Monday night to complete repairs. The Down Main line will remain BTET throughout Monday with service levels reduced.",Acton Main Line,51.51692832,-0.267630485,W3 9EH
2020-02-09,Scotland,CCIL 2091462 ,"Fault No. 349315 / At 1102 the Shift Signalling Manager at Edinburgh IECC advised that ‘727’ track circuit on the Down E&G line between Winchburgh Junction and Linlithgow. 1R71, ScotRail, 1030 Edinburgh Waverley – Glasgow Queen Street was utilised to examine the line, reporting flooding at Overbridge 30. There was no effect on train running as the water was only up to the foot of the rail. However, by 1200 multiple track circuits on both lines were reported, with services losing circa 40 minutes due to cautioning. Service revisions were imposed to ease congestion. Normal working was resumed at 2024 after the three train rule was applied.",Winchburgh,55.973889,-3.492222,EH52 6PY
2020-02-09,North West and Central (NW),CCIL 2091510,Fault No. 881334 / At 1152 reports were received that both the Up & Down lines at Stainforth Tunnel had been submerged by moving floodwater with train running between Settle and Carlisle then suspended. After examination by P’Way staff at 1418 the line remained blocked for the remainder of the day. An inspection is due to take place on Monday morning.,Stainforth Tunnel,54.067,-2.2808,BD24 9BN
2020-02-09,North West and Central (NW),CCIL 2091566 ,"Fault No. 881361 / At 1246 the driver of 1A22, Avanti West Coast, 1147 Liverpool Lime Street – London Euston advised they had an ADD activation on approach to CY122 signal on the Up Fast line between Winsford and Crewe. After inspecting the train, the driver reported that 8-10 droppers had come off and the OLE contact wire was in the four foot of the Up Fast line. A Mobile Operations Manager was sent to site. 9G52, Avanti West Coast, 1117 Preston – Birmingham New Street was trapped in rear. Arrangements were made to bring a rescue unit to site from Warrington Bank Quay to evacuate all passengers. At 1415 the Mobile Operations Manager confirmed the OLE had become detached from the droppers and that no other lines were affected. Passengers had been evacuated to the adjacent rescue train by 1500 (see section 07 of this Report). At 1509 it was confirmed that thirty droppers, five registration arms and a full jumper assembly required replacing. In addition, there were five kinks in the contact wire that required attention, with approximately eight hours of repair work required and a four-line possession. At 0021, the possession had been taken with works on going at the close of this report.",Winsford,53.1905328,-2.494593885,CW7 3NF
2020-02-09,North West and Central (NW),CCIL 2090874 ,"Fault No. 881362 / At 1308 Rugby ECR reported the breakers out on OLE sections LQ7 & LQ8 complete, and that they were unable to feed OLE sections LQ9 & LQ10 complete affecting the Up and Down Penkridge line between Wolverhampton and Stafford. OLE and P’Way staff were sent to site. 1C64, West Midlands Trains, 1112 Crewe – Birmingham International was trapped at Penkridge. At 1425 it was advised that a tree was on the OLE at 20m 708 yards between Four Ashes and Penkridge. Nine further trees were reported as down, which in turn had parted the Return Conductor. Alternative feeding was carried out by 1545 for OLE sections LQ9 & LQ10 which returned the power between Penkridge and Stafford, thus allowing 1C64 to be returned to Stafford. By 1700 following alternative feeding arrangements power was restored at Wolverhampton, with the route between Wolverhampton and Stafford remaining blocked and remedial works commenced. Work was suspended at 1820 due to high wind speeds. By 2222 an emergency possession had been taken and all trees that were foul of the line removed. Repair works were on going at the close of this report.",Wolverhampton,52.58785715,-2.119516893,WV1 1LE
2020-02-09,Wales and Western (Wales),CCIL 2091611 ,"Fault No. 459883 / At 1347, P’Way reported that there was storm damage had been located on the Single line between Llanaber and Talybont whereby large amounts of ballast and rocks were located within the four foot at 102m 40ch. foot full of ballast and large rocks. As a result, the line was blocked and to remain blocked for seven days pending a full assessment.",Llanaber,52.74152431,-4.07718901,LL42 1AZ
2020-02-09,North West and Central (NW),CCIL 2091631 ,"At 1403 it was reported that flood water from the river Caldew had resulted in the West Coast Main line being blocked between Carlisle and the Anglo Scottish boarder. Services were re-instated at 1648 following an inspection of the track and the river bridge. However, the line was blocked again at 2228 due to rising floodwater and track circuit 329 on the Down Main line and track circuit 323 on the Up Main line showing occupied. The route remained blocked as staff were unable to make an assessment. Works still on going at the close of this report.",Carlisle,54.89064626,-2.933810228,CA1 1QZ
2020-02-09,Wales and Western (Western),CCIL 2091637 ,"Fault No. 459861 / At 1410 Off track staff blocked the Up and Down Charfield line between Standish Junction and Can & Dursley after the discovery of a large tree blocking both lines at Stonehouse Viaduct. A block to traffic was placed with the West Midlands Train Running Controller. Some services were diverted via Kemble and Swindon or terminated short of destination. The Down Charfield line was reopened at caution from 1502, after Off track staff had removed part of the obstruction. At 1600 the driver of 2E42, Great Western Railway, 1338 Bristol Temple Meads – Worcester Shrub Hill formed by units 158762 & 158747 that had been stood at Berkley Road Junction, reported that two passengers had egressed from the train. The BT Police (ref.",Stonehouse,51.74588546,-2.279510293,GL10 2JW
2020-02-09,Southern (Kent),CCIL 2091715,"Fault No. 463236 / At 1545 the driver of 2Y68, Southeastern, 1414 Faversham – London Victoria, formed by unit 375825, reported that the train had struck a tree on the Up Chatham Main line, with the train having possibly ridden up over the tree. The Mobile Operations Manager and Emergency services were sent to site and at 1611 the Mobile Operations Manager confirmed the tree was blocking both lines but that the unit had not derailed, although the conductor rail had been dislodged by the impact. There were no reported injuries to passengers or staff. Arrangements were made for the 200 passengers on board to be evacuated onto a train brought alongside which was completed by 1850. A locomotive was sent to site to recover 2Y68 which was accomplished by 0325 with P’Way examining the line at the close of this report.",Southern (Kent),,,
2020-02-09,Southern (Kent),CCIL 2091711 ,At 1616 platforms 1- 6 at London Victoria were blocked as a result of an issue with an unsecured ladder on the station roof. Contractors arrived on site but could not locate and secure the ladder until the weather conditions had subsided. London fire brigade and attended site and made a temporary repair to the ladder and contractors were deployed in order to ensure the ladder is safely in position ready for the start of service.,London Victoria,51.49526139,-0.144540593,SW1V 1JU
2020-02-09,Southern (Kent),CCIL No CCIL raised ,"At 1600 it was reported that loose insulation panels on a building adjacent to the railway were presenting a risk to Lines/Platforms 1,2 & 3 at London Bridge. As such trains were cautioned and a watchman put in place.",London Bridge,51.50509647,-0.085060385,SE1 3QX
2020-02-09,Eastern (North & East),CCIL 2091755 ,"Fault No. 878127 / At 1630, the Mobile Operations Manager reported that all lines were blocked at Kirkstall bridge due to flooding, with flood water 1inch above the rail head. Resulting in multiple axle counter and track circuit failures. Off track staff were on site at 2144 and were operating water pumps. OLE staff working in a pre- planned possession in Kirkstall with off track staff signed into the worksite to allow the use of additional pumps to be deployed.",Eastern (North & East),,,
2020-02-09,Southern (Sussex),CCIL 2090495 ,"Fault No. 764542 / At 1754 it was reported that the lead flashing on the lift shaft of platforms 5 & 6 at Gatwick had become loose. Rectification work required scaffolding to be erected which was unfeasible due to the high winds. As a result, platforms 5 & 6 were blocked and were expected to remain so throughout Monday. Services will be replatformed and some service alterations implemented.",Southern (Sussex),,,
2020-02-09,Eastern (East Coast),CCIL 2091127 ,"At 2351 (Sat) it was reported that a member of staff working within WON 46 item 274, Hessle & Chalk Lane LC CCTV, Down and Up Main lines blocked (0025 Sun – 0730 Sun) an LNE IMDM York managed possession had arrived at the work site as an RRV driver possibly under the influence of drink/drugs. The staff member in question was employed by Stobart Rail and contracted into the works by Storey Rail. As a result, the 20mph ESR remained in place over the defective Level Crossing and the possession was cancelled. The staff member was relieved of duty and ‘for cause’ screening was arranged by Stobart Rail.",Eastern (East Coast),,,
2020-02-09,Scotland,CCIL 2091166 ,"Fault No. 349282 / At 0240, P’Way staff reported that they had identified a sink hole at the toe of 93A points on the Up Coatbridge line between Burnhouse and Mossend North Junction.  Structures staff  and earthworks engineers were requested to site. After consultation with the On-Call structures engineer, P’Way staff advised at 0314 that the Up Coatbridge line was to be closed between Burnhouse and Mossend North Junction, with the Down Coatbridge line signalled for bi-directional working. Earthworths engineers, along with AMCO staff, were on site at 0450 and confirmed a culvert, that AMCO staff had jet washed from another location off track earlier in the night, had collapsed. AMCO have arranged to take possession of the line to carry out remedial works on Sunday night, with a watchman in place throughout the day.",Burnhouse,54.690274,-1.648754,DL16 7NJ
2020-02-10,Southern (Kent),CCIL 2092000 ,"Fault No. 463335 / At 0523, 0Y03, GB Railfreight, 0345 Tonbridge – Tonbridge, locomotive 66749, intermittently failed to operate ‘AZE’ and ‘AZN’ track circuits on the Up Rye line between Ham Street and Ashford. Loco wheels were examined and found to be free from contamination. Contamination was found on the railhead. The track circuits were returned to normal use at 1203 after cleaning and testing had been completed.",Ham Street,51.0683774,0.8545216170000001,TN26 2DU
2020-02-10,Southern (Wessex),CCIL 2092099 ,"Fault No. 463349 / At 0710, 1F06, Great Western Railway, 0601 Portsmouth Harbour – Cardiff Central, formed by units 165120 & 166201 intermittently failed to operate 'PO' track circuit on the Down line between Romsey and Dunbridge. Unit wheels were examined and found to be free from contamination. Rust contamination was found on the railhead, on a 300 yard section of rail which had been replaced overnight. The signaller reported that they had not been advised of the rail change and had therefore not implemented any control measures.",Romsey,50.99252174,-1.493151814,SO51 8DU
2020-02-10,Scotland,CCIL 2092450 ,"Fault No. 349438 / At 1654, 5M03, DB Cargo, 1641 Mossend Down Yard – Shieldmuir, formed by units 325012 & 325004, intermittently failed to operate ‘2219’ track circuit on the Down Mossend line at Mossend Down Yard. Unit wheels were examined and found to be free from contamination. S&T staff were on site by 1930 with failure investigations ongoing at the close of this Report.",Mossend,55.8126,-3.9736,ML1 4LU
2020-02-10,Eastern (Anglia),CCIL 2092299 ,"At 1245, 1P31, Greater Anglia, 1100 Norwich – London Liverpool Street, passed L446 signal on the Up Electric line at Romford at red by 10 feet. When questioned, the driver stated a loss of concentration (group 2 cause). After consultation with Greater Anglia, the driver was judged fit to continue and was met on arrival at London Liverpool Street",London Liverpool Street,51.51802304,-0.081995697,EC2M 7PY
2020-02-10,North West and Central (NW),CCIL 2092276 ,"Fault No. 881543 / At 1035, 2C49, Northern, 1022 Barrow-in-Furness – Carlisle, passed BY57 signal on the Down Main line at Whitehaven at red by one mile. There were no other trains in the section ahead and the signal was not fitted with TPWS. The signal was displaying a red aspect due to track circuit ‘17’ being in a failed state. When questioned, the driver stated becoming distracted (group 2 cause). After consultation with Northern, the driver was judged unfit to continue and was relieved on site by a Driver Manager, who took the service forward to Workington where it terminated.",Whitehaven,54.55303162,-3.586933718,CA28 6AX
2020-02-10,Southern (Sussex),CCIL 2092271 ,"At 1158, the driver of 1I23, Govia Thameslink Railway, 1107 Dorking – London Victoria, formed by units 377611 & 377618 comprising 10 coaches in all, brought the train to a stand at the 8 car marker board on platform 14 at Clapham Junction and released all doors on the train. Upon realising the error, all doors were re-secured. There were no passenger incidents reported. The driver was authorised to continue and was met on arrival at London Victoria.",Clapham Junction,51.46419065,-0.17024735100000002,SW11 2QP
2020-02-10,Wales and Western (Western),CCIL 2092353 ,"At 1321, due to a loss of signalling in the Par area, as detailed in Section 22 of this Report, the driver of 1C72, Great Western Railway, 0804 London Paddington – Penzance, which was stood at PR103 signal on the Down Main line, was instructed by the signaller not to move. However, at 1402 the driver re- contacted the signaller and advised that they were now stood at PR113 signal, having passed PR103, PR105, PR107 and PR111 signals. After consultation with Great Western Railway, the driver was judged fit to continue and was met on arrival at Truro, where they were relieved of duty for interview and screening. FFCCTV from the unit involved showed that the four signals passed had all been displaying a proceed aspect.",Truro,50.26382962,-5.064866947,TR1 3HH
2020-02-10,North West and Central (NW),CCIL 2092049 ,"At 0615, the driver of 1D30, Transport for Wales, 0533 Manchester Airport – Llandudno, reported that the train had struck a person on the Down Chat Moss line at Newton-le-Willows. All lines were blocked, Emergency services and Network Rail staff attended at 0637. Services were suspended on the Up and Down Chat Moss lines between Manchester Victoria and Huyton. BT Police (ref. 42) reported at 0707 that having obtained a statement from the driver, they had deemed the incident a non-suspicious deliberate act. All lines were reopened from 0800. During the incident, WN539 signal on the Up Chat Moss line at Earlestown was replaced to red and the driver of 1K07, TransPennine Express, 0552 Liverpool Lime Street",Manchester Victoria,53.48747956,-2.242599788,M3 1WY
2020-02-10,North West and Central (NW),CCIL 2092171 ,"At 0845, the driver of 2K83, 0817 Southport – Alderley Edge, reported a near miss at Gathurst with a person crossing from the Down line to the Up line. The driver was fit to continue. The BT Police (ref. 172) were advised.",Gathurst,53.55941698,-2.6943909610000003,WN5 0LW
2020-02-10,Wales and Western (Western),CCIL 2092190 ,"At 0854, station staff at Ealing Broadway reported that a person was wandering across the lines between West Ealing and Ealing Broadway. Due to the erratic nature of the person, all train movements were stopped. At 0913, following a report that the person was climbing the gantry for SN212 signal, an emergency traction current switch-off was taken, affecting all lines London Paddington – Maidenhead. Mobile Operations Manager and BT Police (ref. 96) arrived on site at 0919, the person climbed down the gantry and was taken into custody at 0923. All personnel were clear of the site and traction current restored at 0932.",Ealing Broadway,51.51484651,-0.301752259,W5 2NU
2020-02-10,Southern (Wessex),CCIL 2092062,"Fault No. 463417 / At 1316, 2N31, South Western Railway, 1253 Ascot – Aldershot, formed by unit 450094, comprising four coaches in all, overran Camberley station by ½ coach length with the unaccommodated door locked out of use. The driver stated that the overrun was due to wet rail heads. The driver was fit to continue. The next service 2N33, South Western Railway, 1323 Ascot – Aldershot, formed by unit 450552, comprising four coached in all, was requested to undertake a controlled test stop but also overshot the station by ½ a coach length, with the affected door locked out of use. Following services were cautioned until 1424 when a successful controlled test stop had been completed and the weather conditions had improved.",Southern (Wessex),,,
2020-02-10,Southern (Kent),CCIL 2091995 ,"Fault No.463332 / At 0506, staff investigating the failure of ‘OU’ track circuit on Up Catford Loop line at Catford discovered a broken rail and blocked the line. P’Way attended and carried out remedial work, clamping the defect and reopening the line with a 20 mph ESR imposed at 1153. Repairs were completed in an additional overnight possession between 0030 and 0430 Tuesday.",Catford,51.44440912,-0.026309768,SE6 4XT
2020-02-10,Eastern (East Coast),CCIL 2092325 ,"Fault No. 787255 / At 1312, the driver of 1A29, London North Eastern Railway, 1136 Harrogate – London King's Cross reported a track defect on the Up Main line at Egmanton CCTV LC, between Retford and Newark Northgate. The line was blocked to traffic until 1340, when voice communications were examined and confirmed the defect was suspected and not confirmed, allowing the line to re-open with a 20 mph ESR, pending P’Way inspection. After watching several services through the area at 80mph with no issues found, Linespeed was restored from 1541.",Egmanton,53.216172,-0.8619,G23 6TQ
2020-02-10,Eastern (East Coast),CCIL 2092568 ,"Fault No. 787314 / At 2214, the Shift Signalling Manager at Doncaster PSB reported that ‘4322’ track circuit on the Up Main line at Ranskill Loop had failed holding D170 and D174 signals at red. 1H07, Hull Trains, 2030 London King’s Cross – Hull was authorised to examine from the adjacent line and reported seeing nothing amiss. The Mobile Operations Manager was on site at 2232. The Mobile Operations Manager advised at 2252 that they had located a broken rail near to D170 signal. The Mobile Operations Manager secured the No. 2264 points in the Reverse position to allowing trains to run via the Ranskill Up Loop avoiding the broken rail. Repairs to the broken rail were ongoing at the close of this Report.",Doncaster,53.52149710000001,-1.140234479,DN1 1PE
2020-02-10,Eastern (East Coast),CCIL 22092050 ,"Fault No. 787178 / At 0606, the driver of 1Y08, London North Eastern Railway, 0540 Sunderland – London King’s Cross reported an ADD activation on the Up Main line at Bensham Tunnel. The following service was authorised through the area on diesel traction and reported seeing nothing amiss. A Mobile Operations Manager was on site at 0630 and a 20mph ESR was imposed on the Up Main line with OLE staff sent to site. OLE staff were on site at 0800 and were afforded a Line Blockage. At 0856 the OLE staff reported that no visible damage was located allowing train running to resume without restrictions. Significant delays occurred as a result.",Eastern (East Coast),,,
2020-02-10,North West and Central (NW),CCIL 2092068 ,"Fault No. 881460 / At 0634, Crewe ECO advised that sections HF-10 and HF-12 between Wilmslow and Handforth tripped at 0624 before resetting at 0628. Two services were in section at the time with the driver of 2H40, Northern, 0544 Crewe – Manchester Piccadilly reporting a flash and a bang from the OLE whilst in platform 2 at Handforth. After an attempt to raise the pantograph of unit 323226 on 2H40, the breakers opened again on section HF-10. OLE staff were in the area after an engineering possession at Handforth overnight, so the area was examined, but OLE staff reported nothing amiss. 2H41 remained in the platform at Handforth with the pantograph lowered. At 0752 2H41, Northern, 0648 Crewe – Manchester Piccadilly went to assist. The service was cancelled, and passengers detrained, and by 0850 the combined train went into the Reverse Sidings at Wilmslow, allowing all lines to reopen.",Handforth,53.34642025,-2.213257748,SK9 3AB
2020-02-10,Scotland,CCIL 2092182 ,"Fault No. 349398 / At 0907, a power failure in the Blackford area caused all signals to revert to red as the back-up power supply came on. The driver of 1L75, ScotRail, 0810 Glasgow Queen Street – Dundee, passed BK9 signal at red on the Down line at Blackford. The driver was fit to continue when the circumstances were explained.",Blackford,56.26286800000001,-3.775689,PH4 1PZ
